,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
430984,192.168.10.3-192.168.10.51-53-57964-17,192.168.10.51,57964,192.168.10.3,53,17,4/7/2017 9:14,333,2,2,68,722.0,34,34,34.0,0.0,361,361,361.0,0.0,2372372.372,12012.01201,111.0,148.0776823,280.0,4.0,49.0,49.0,0.0,49.0,49.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,80,80,6006.006006,6006.006006,34,361,164.8,179.1052763,32078.7,0,0,0,0,0,0,0,0,1,206.0,34.0,361.0,80,0,0,0,0,0,0,2,68,2,722,-1,-1,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
430072,192.168.10.3-192.168.10.16-53-59022-17,192.168.10.16,59022,192.168.10.3,53,17,4/7/2017 2:44,264,2,2,70,198.0,35,35,35.0,0.0,99,99,99.0,0.0,1015151.515,15151.51515,88.0,111.7273467,214.0,1.0,1.0,1.0,0.0,1.0,1.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,64,64,7575.757576,7575.757576,35,99,60.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,75.75,35.0,99.0,64,0,0,0,0,0,0,2,70,2,198,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
309776,192.168.10.3-192.168.10.16-53-53075-17,192.168.10.16,53075,192.168.10.3,53,17,4/7/2017 1:48,50552,2,2,86,204.0,43,43,43.0,0.0,102,102,102.0,0.0,5736.667194,79.12644406,16850.66667,29181.01466,50546.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,40,39.56322203,39.56322203,43,102,66.6,32.31563089,1044.3,0,0,0,0,0,0,0,0,1,83.25,43.0,102.0,40,0,0,0,0,0,0,2,86,2,204,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
330335,192.168.10.3-192.168.10.9-53-54355-17,192.168.10.9,54355,192.168.10.3,53,17,4/7/2017 4:27,305,2,2,88,664.0,44,44,44.0,0.0,332,332,332.0,0.0,2465573.77,13114.7541,101.6666667,92.08872533,208.0,48.0,48.0,48.0,0.0,48.0,48.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,40,40,6557.377049,6557.377049,44,332,159.2,157.7440966,24883.2,0,0,0,0,0,0,0,0,1,199.0,44.0,332.0,40,0,0,0,0,0,0,2,88,2,664,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
173869,192.168.10.3-192.168.10.15-53-55697-17,192.168.10.15,55697,192.168.10.3,53,17,4/7/2017 10:31,207,2,2,108,268.0,54,54,54.0,0.0,134,134,134.0,0.0,1816425.121,19323.6715,69.0,79.32212806,157.0,3.0,3.0,3.0,0.0,3.0,3.0,47.0,47.0,0.0,47.0,47.0,0,0,0,0,40,40,9661.835749,9661.835749,54,134,86.0,43.8178046,1920.0,0,0,0,0,0,0,0,0,1,107.5,54.0,134.0,40,0,0,0,0,0,0,2,108,2,268,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
438402,192.168.10.3-192.168.10.51-53-2803-17,192.168.10.51,2803,192.168.10.3,53,17,4/7/2017 4:17,214,2,2,96,180.0,48,48,48.0,0.0,90,90,90.0,0.0,1289719.626,18691.58879,71.33333333,117.4918437,207.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,64,64,9345.794393,9345.794393,48,90,64.8,23.00434742,529.2,0,0,0,0,0,0,0,0,1,81.0,48.0,90.0,64,0,0,0,0,0,0,2,96,2,180,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
304802,192.168.10.3-192.168.10.15-53-62878-17,192.168.10.15,62878,192.168.10.3,53,17,4/7/2017 3:22,48049,2,2,62,94.0,31,31,31.0,0.0,47,47,47.0,0.0,3246.685675,83.24835064,16016.33333,27738.50501,48046.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,40,40,41.62417532,41.62417532,31,47,37.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,46.75,31.0,47.0,40,0,0,0,0,0,0,2,62,2,94,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
248806,192.168.10.3-192.168.10.9-53-55262-17,192.168.10.9,55262,192.168.10.3,53,17,4/7/2017 2:38,177,2,2,90,168.0,45,45,45.0,0.0,84,84,84.0,0.0,1457627.119,22598.87006,59.0,96.99484522,171.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,11299.43503,11299.43503,45,84,60.6,21.36117974,456.3,0,0,0,0,0,0,0,0,1,75.75,45.0,84.0,64,0,0,0,0,0,0,2,90,2,168,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
318303,192.168.10.3-192.168.10.16-53-6299-17,192.168.10.16,6299,192.168.10.3,53,17,4/7/2017 10:03,49455,2,2,70,232.0,35,35,35.0,0.0,116,116,116.0,0.0,6106.561521,80.88160954,16485.0,28550.25953,49452.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,40.44080477,40.44080477,35,116,67.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,84.25,35.0,116.0,64,0,0,0,0,0,0,2,70,2,232,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
315576,192.168.10.3-192.168.10.16-53-2811-17,192.168.10.16,2811,192.168.10.3,53,17,4/7/2017 1:48,51328,2,2,86,222.0,43,43,43.0,0.0,111,111,111.0,0.0,6000.623441,77.93017456,17109.33333,29630.77053,51324.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,38.96508728,38.96508728,43,111,70.2,37.24513391,1387.2,0,0,0,0,0,0,0,0,1,87.75,43.0,111.0,64,0,0,0,0,0,0,2,86,2,222,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
